name,language,country,genre
Call Me by Your Name,"انگلیسی, ایتالیایی, فرانسوی","ایتالیا, فرانسه, ایالات متحده, برزیل",درام رمانتیک
Amélie,فرانسوی,"فرانسه, آلمان",کمدی رمانتیک
500 Days of Summer,انگلیسی,ایالات متحده,"کمدی رمانتیک, درام"
When Harry Met Sally...,انگلیسی,ایالات متحده,کمدی رمانتیک
Crazy Rich Asians,انگلیسی,ایالات متحده,کمدی رمانتیک
Her,انگلیسی,ایالات متحده,"درام رمانتیک, علمی تخیلی"
The Lord of the Rings: The Fellowship of the Ring,English,USA/New Zealand,Fantasy
Spirited Away,Japanese,Japan,Fantasy
Pan's Labyrinth,Spanish,Spain/Mexico,Fantasy
Harry Potter and the Prisoner of Azkaban,English,UK/USA,Fantasy
Princess Mononoke,Japanese,Japan,Fantasy
The NeverEnding Story,English,West Germany/USA,Fantasy
Willow,English,USA,Fantasy
Legend,English,USA/UK,Fantasy
Stardust,English,USA/UK,Fantasy
The Dark Crystal,English,UK/USA,Fantasy
زندگی برایان,انگلیسی,بریتانیا,کمدی
هواپیما!,انگلیسی,آمریکا,کمدی
این اسپینال تپ است,انگلیسی,آمریکا,کمدی
احمق و احمق تر,انگلیسی,آمریکا,کمدی
باشگاه صبحانه,انگلیسی,آمریکا,کمدی
ملاقات با والدین,انگلیسی,آمریکا,کمدی
خیلی بد,انگلیسی,آمریکا,کمدی
عروس شاهزاده,انگلیسی,آمریکا,کمدی
مامان بزرگ پسر,اسپانیایی,مکزیک,کمدی
آملى,فرانسوی,فرانسه,کمدی
Free Solo,English,USA,"Adventure, Documentary, Sport"
Icarus,English,USA,"Documentary, Sport, Thriller"
My Octopus Teacher,English,South Africa,"Documentary, Nature"
The Social Dilemma,English,USA,"Documentary, Drama"
Fyre: The Greatest Party That Never Happened,English,USA,"Documentary, Comedy, Crime"
Man with a Movie Camera,None (Silent),USSR,Documentary
Honeyland,Macedonian,North Macedonia,Documentary
Amy,English,UK,"Documentary, Biography, Music"
Jiro Dreams of Sushi,Japanese,USA,"Documentary, Biography, Food"
Blackfish,English,USA,"Documentary, Crime, Drama"
ارباب حلقه‌ها: یاران حلقه,انگلیسی,نیوزلند، آمریکا,فانتزی ماجراجویی
هری پاتر و سنگ جادو,انگلیسی,انگلستان، آمریکا,فانتزی خانوادگی
هزارتوی پن,اسپانیایی,اسپانیا، مکزیک,فانتزی تاریک
پرنسس مونونوکه,ژاپنی,ژاپن,فانتزی انیمه
افسانه,انگلیسی,آمریکا، انگلستان,فانتزی ماجراجویی
بی پایان,آلمانی، انگلیسی,آلمان غربی، آمریکا,فانتزی خانوادگی
ویلو,انگلیسی,آمریکا,فانتزی ماجراجویی
سیندرلا (2015),انگلیسی,آمریکا، انگلستان,فانتزی عاشقانه
اژدها سوار,آلمانی,آلمان,فانتزی ماجراجویی
دلیر,انگلیسی,آمریکا,فانتزی انیمیشن
Mad Max: Fury Road,English,Australia,Action
The Raid: Redemption,Indonesian,Indonesia,Action
John Wick,English,USA,Action
Die Hard,English,USA,Action
Terminator 2: Judgment Day,English,USA,Action
Hard Boiled,Cantonese,Hong Kong,Action
Mission: Impossible - Fallout,English,USA,Action
Edge of Tomorrow,English,USA,Action
"Crouching Tiger, Hidden Dragon",Mandarin,China,Action
Rambo: First Blood,English,USA,Action
Pride & Prejudice,English,UK,Romance
The Notebook,English,USA,Romance
Amélie,French,France,Romance
Before Sunrise,English,USA,Romance
When Harry Met Sally...,English,USA,Romance
La La Land,English,USA,Romance
Call Me by Your Name,English,Italy,Romance
Crazy Rich Asians,English,USA,Romance
About Time,English,UK,Romance
500 Days of Summer,English,USA,Romance
The Maltese Falcon,English,USA,Mystery
Rear Window,English,USA,Mystery
Chinatown,English,USA,Mystery
Gone Girl,English,USA,Mystery
Knives Out,English,USA,Mystery
The Silence of the Lambs,English,USA,Mystery
Se7en,English,USA,Mystery
Prisoners,English,USA,Mystery
Memories of Murder,Korean,South Korea,Mystery
The Girl with the Dragon Tattoo,Swedish,Sweden,Mystery
فارست گامپ,انگلیسی,ایالات متحده آمریکا,درام
رستگاری در شاوشنگ,انگلیسی,ایالات متحده آمریکا,درام
فهرست شیندلر,انگلیسی,ایالات متحده آمریکا,درام
یک ذهن زیبا,انگلیسی,ایالات متحده آمریکا,درام
باشگاه مبارزه,انگلیسی,ایالات متحده آمریکا,درام
پیانیست,انگلیسی,فرانسه,درام
زندگی زیباست,ایتالیایی,ایتالیا,درام
درخشش ابدی یک ذهن پاک,انگلیسی,ایالات متحده آمریکا,درام
گرین مایل,انگلیسی,ایالات متحده آمریکا,درام
هفت,انگلیسی,ایالات متحده آمریکا,درام
Knives Out,English,USA,Mystery
Prisoners,English,USA,Mystery
The Silence of the Lambs,English,USA,Mystery
Gone Girl,English,USA,Mystery
Se7en,English,USA,Mystery
Rear Window,English,USA,Mystery
The Girl with the Dragon Tattoo,English,USA,Mystery
Shutter Island,English,USA,Mystery
The Maltese Falcon,English,USA,Mystery
Memories of Murder,Korean,South Korea,Mystery
Mad Max: Fury Road,English,Australia,Action
The Raid: Redemption,Indonesian,Indonesia,Action
Terminator 2: Judgment Day,English,USA,Action
Die Hard,English,USA,Action
John Wick,English,USA,Action
Hard Boiled,Cantonese,Hong Kong,Action
Mission: Impossible - Fallout,English,USA,Action
Kill Bill: Volume 1,English,USA,Action
Raiders of the Lost Ark,English,USA,Action
Edge of Tomorrow,English,USA,Action
دفترچه خاطرات,انگلیسی,آمریکا,درام عاشقانه
غرور و تعصب,انگلیسی,انگلستان,درام عاشقانه
کازابلانکا,انگلیسی,آمریکا,درام عاشقانه
وقتی هری سالی را دید,انگلیسی,آمریکا,کمدی رمانتیک
شهر فرشته ها,انگلیسی,آمریکا,درام عاشقانه فانتزی
عشق واقعی,انگلیسی,انگلستان,کمدی رمانتیک
قبل از طلوع,انگلیسی,آمریکا,درام عاشقانه
آملی,فرانسوی,فرانسه,کمدی رمانتیک
سینما پارادیزو,ایتالیایی,ایتالیا,درام عاشقانه
داستان عاشقانه,انگلیسی,آمریکا,درام عاشقانه
The Notebook,English,USA,Romance
Pride & Prejudice,English,UK,Romance
La La Land,English,USA,Romance
Before Sunrise,English,USA,Romance
Amélie,French,France,Romance
Call Me by Your Name,English,Italy,Romance
Eternal Sunshine of the Spotless Mind,English,USA,Romance
When Harry Met Sally...,English,USA,Romance
Crazy Rich Asians,English,USA,Romance
Love Actually,English,UK,Romance
زندگی برایان,انگلیسی,بریتانیا,کمدی
هتل بزرگ بوداپست,انگلیسی,آمریکا,کمدی
این اسپینال تپ است,انگلیسی,آمریکا,کمدی
بعد از ساعت‌ها,انگلیسی,آمریکا,کمدی
دیکتاتور بزرگ,انگلیسی,آمریکا,کمدی
پرنده‌باز آلکاتراز,ایتالیایی,ایتالیا,کمدی
آقای وینسنت,فرانسوی,فرانسه,کمدی
رستگاری در شاوشنگ,فارسی,ایران,کمدی
درخشش,کره ای,کره جنوبی,کمدی
مادام بوواری,هندی,هند,کمدی
هفت (Se7en),انگلیسی,آمریکا,جنایی، معمایی، هیجان‌انگیز
سکوت بره‌ها (The Silence of the Lambs),انگلیسی,آمریکا,جنایی، ترسناک، هیجان‌انگیز
روانی (Psycho),انگلیسی,آمریکا,ترسناک، معمایی، هیجان‌انگیز
یادگاری (Memento),انگلیسی,آمریکا,معمایی، هیجان‌انگیز
باشگاه مبارزه (Fight Club),انگلیسی,آمریکا,هیجان‌انگیز، درام
شاتر آیلند (Shutter Island),انگلیسی,آمریکا,معمایی، هیجان‌انگیز، روان‌شناختی
دختر گمشده (Gone Girl),انگلیسی,آمریکا,معمایی، هیجان‌انگیز
اولدبوی (Oldboy),کره‌ای,کره جنوبی,اکشن، معمایی، هیجان‌انگیز
ناپدید شدن (The Vanishing),هلندی,هلند,معمایی، هیجان‌انگیز
قتل‌های زنجیره‌ای ایکس (The X Murders),ایتالیایی,ایتالیا,جنایی، هیجان‌انگیز
زندگی برایان,انگلیسی,بریتانیا,کمدی
این اسپینال تپ است,انگلیسی,آمریکا,کمدی
هواپیما!,انگلیسی,آمریکا,کمدی
آنی هال,انگلیسی,آمریکا,کمدی، عاشقانه
دیکتاتور بزرگ,انگلیسی,آمریکا,کمدی، درام
ماهی بزرگ,انگلیسی,آمریکا,کمدی، فانتزی
بورات,انگلیسی، عبری، لهستانی، رومانیایی، ارمنی,آمریکا,کمدی، مستند
چه بلایی سر استیو برد افتاد؟,فرانسوی,فرانسه,کمدی
پلیس بد,انگلیسی,بریتانیا,"کمدی, اکشن"
زندگی پنهان والتر میتی,انگلیسی,آمریکا,کمدی، ماجراجویی
My Octopus Teacher,English,South Africa,Nature Documentary
Free Solo,English,USA,Sports Documentary
Icarus,English,USA,Political Documentary
The Social Dilemma,English,USA,Social Documentary
Fyre: The Greatest Party That Never Happened,English,USA,Crime Documentary
Blackfish,English,USA,Animal Rights Documentary
Citizenfour,English,USA,Political Documentary
Man with a Movie Camera,Russian,Soviet Union,Experimental Documentary
Amy,English,UK,Biographical Documentary
Exit Through the Gift Shop,English,UK,Art Documentary
Blade Runner 2049,English,USA,Sci-Fi
Arrival,English,USA,Sci-Fi
Interstellar,English,USA,Sci-Fi
The Matrix,English,USA,Sci-Fi
Children of Men,English,USA,Sci-Fi
Gattaca,English,USA,Sci-Fi
Primer,English,USA,Sci-Fi
District 9,English,South Africa,Sci-Fi
Stalker,Russian,Soviet Union,Sci-Fi
Annihilation,English,USA,Sci-Fi
Blade Runner 2049,English,USA,Sci-Fi
Arrival,English,USA,Sci-Fi
Interstellar,English,USA,Sci-Fi
Ex Machina,English,UK,Sci-Fi
Children of Men,English,UK,Sci-Fi
Gattaca,English,USA,Sci-Fi
District 9,English,South Africa,Sci-Fi
Primer,English,USA,Sci-Fi
Stalker,Russian,Soviet Union,Sci-Fi
Solaris,Russian,Soviet Union,Sci-Fi
The Exorcist,English,USA,Supernatural Horror
Hereditary,English,USA,Psychological Horror
The Babadook,English,Australia,Psychological Horror
It Follows,English,USA,Supernatural Horror
The Witch,English,USA,Folk Horror
Train to Busan,Korean,South Korea,Zombie Horror
Psycho,English,USA,Psychological Horror
The Shining,English,USA,Psychological Horror
Get Out,English,USA,Social Horror
A Quiet Place,English,USA,Sci-Fi Horror
رستگاری در شاوشنگ,انگلیسی,ایالات متحده آمریکا,درام
فارست گامپ,انگلیسی,ایالات متحده آمریکا,درام
فهرست شیندلر,انگلیسی,ایالات متحده آمریکا,درام
زندگی زیباست,ایتالیایی,ایتالیا,درام
باشگاه مبارزه,انگلیسی,ایالات متحده آمریکا,درام
داستان اسباب بازی ۳,انگلیسی,ایالات متحده آمریکا,درام
هفت سامورایی,ژاپنی,ژاپن,درام
انگل,کره ای,کره جنوبی,درام
پیانیست,انگلیسی,فرانسه,درام
درخشش ابدی یک ذهن پاک,انگلیسی,ایالات متحده آمریکا,درام
فارست گامپ,انگلیسی,آمریکا,درام
رستگاری در شاوشنک,انگلیسی,آمریکا,درام
فهرست شیندلر,انگلیسی,آمریکا,درام
پیانیست,انگلیسی,فرانسه,درام
زندگی زیباست,ایتالیایی,ایتالیا,درام
باشگاه مبارزه,انگلیسی,آمریکا,درام
گلادیاتور,انگلیسی,آمریکا,درام
رفتگان,انگلیسی,آمریکا,درام
انگلیسی بیمار,انگلیسی,آمریکا,درام
هفت,انگلیسی,آمریکا,درام
Pride & Prejudice,English,UK,Romance
The Notebook,English,USA,Romance
Before Sunrise,English,USA,Romance
Amélie,French,France,Romance
Call Me by Your Name,English,Italy,Romance
La La Land,English,USA,Romance
When Harry Met Sally...,English,USA,Romance
Crazy Rich Asians,English,USA,Romance
Eternal Sunshine of the Spotless Mind,English,USA,Romance
Roman Holiday,English,USA,Romance
Mad Max: Fury Road,English,Australia,Action
The Raid: Redemption,Indonesian,Indonesia,Action
John Wick,English,USA,Action
Die Hard,English,USA,Action
Terminator 2: Judgment Day,English,USA,Action
Hard Boiled,Cantonese,Hong Kong,Action
Mission: Impossible - Fallout,English,USA,Action
Edge of Tomorrow,English,USA,Action
Kill Bill: Volume 1,English,USA,Action
Casino Royale,English,USA,Action
Knives Out,English,USA,Mystery
The Girl with the Dragon Tattoo,English,USA,Mystery
Prisoners,English,USA,Mystery
Gone Girl,English,USA,Mystery
Zodiac,English,USA,Mystery
The Silence of the Lambs,English,USA,Mystery
Se7en,English,USA,Mystery
Rear Window,English,USA,Mystery
The Maltese Falcon,English,USA,Mystery
Memories of Murder,Korean,South Korea,Mystery
فارست گامپ,انگلیسی,ایالات متحده آمریکا,درام
رستگاری در شاوشنگ,انگلیسی,ایالات متحده آمریکا,درام
فهرست شیندلر,انگلیسی,ایالات متحده آمریکا,درام
باشگاه مبارزه,انگلیسی,ایالات متحده آمریکا,درام
زندگی زیباست,ایتالیایی,ایتالیا,درام
هفت سامورایی,ژاپنی,ژاپن,درام
انگل,کره‌ای,کره جنوبی,درام
جدایی نادر از سیمین,فارسی,ایران,درام
پدرخوانده,انگلیسی,ایالات متحده آمریکا,درام
پیانیست,انگلیسی,فرانسه,درام
The Shawshank Redemption,English,USA,Drama
The Godfather,English,USA,Crime
The Dark Knight,English,"USA, UK",Action
Schindler's List,"English, German, Hebrew, Polish",USA,"Biography, Drama, History"
Pulp Fiction,"English, Spanish, French",USA,"Crime, Drama"
Forrest Gump,English,USA,"Drama, Romance"
Inception,"English, Japanese, French","USA, UK","Action, Sci-Fi, Thriller"
Fight Club,English,"USA, Germany",Drama
Goodfellas,"English, Italian",USA,"Biography, Crime, Drama"
The Matrix,English,"USA, Australia","Action, Sci-Fi"
The Shawshank Redemption,English,USA,Drama
The Godfather,English,USA,Crime
The Dark Knight,English,USA,Action
Pulp Fiction,English,USA,Crime
Forrest Gump,English,USA,Drama
Inception,English,USA,Sci-Fi
Fight Club,English,USA,Drama
Spirited Away,Japanese,Japan,Animation
Parasite,Korean,South Korea,Thriller
Interstellar,English,USA,Sci-Fi
رستگاری در شاوشنگ,انگلیسی,آمریکا,درام
فارست گامپ,انگلیسی,آمریکا,درام
مسیر سبز,انگلیسی,آمریکا,درام
فهرست شیندلر,انگلیسی,آمریکا,درام تاریخی
یک ذهن زیبا,انگلیسی,آمریکا,درام بیوگرافی
پیانیست,انگلیسی,فرانسه,درام جنگی
زندگی زیباست,ایتالیایی,ایتالیا,درام کمدی
باشگاه مبارزه,انگلیسی,آمریکا,درام روانشناختی
درخشش ابدی یک ذهن پاک,انگلیسی,آمریکا,درام عاشقانه
کازابلانکا,انگلیسی,آمریکا,درام عاشقانه
Knives Out,English,USA,Mystery
Prisoners,English,USA,Mystery
Gone Girl,English,USA,Mystery
The Silence of the Lambs,English,USA,Mystery
Se7en,English,USA,Mystery
The Girl with the Dragon Tattoo,English,USA,Mystery
The Usual Suspects,English,USA,Mystery
Rear Window,English,USA,Mystery
Parasite,Korean,South Korea,Mystery
Memories of Murder,Korean,South Korea,Mystery
The Shawshank Redemption,English,USA,Drama
The Godfather,English,USA,Crime
The Dark Knight,English,USA,Action
Schindler's List,English,USA,Biography
Pulp Fiction,English,USA,Crime
Forrest Gump,English,USA,Drama
Inception,English,USA,Sci-Fi
Fight Club,English,USA,Drama
Goodfellas,English,USA,Crime
The Matrix,English,USA,Sci-Fi
Icarus,انگلیسی,آمریکا,ورزشی، مستند، هیجان‌انگیز
Free Solo,انگلیسی,آمریکا,ورزشی، مستند، ماجراجویی
My Octopus Teacher,انگلیسی,آفریقای جنوبی,مستند، حیات وحش
Man with a Movie Camera,بدون دیالوگ,اتحاد جماهیر شوروی,مستند، تجربی
The Act of Killing,اندونزیایی، انگلیسی,دانمارک، نروژ، بریتانیا,مستند، جنایی، تاریخی
Amy,انگلیسی,بریتانیا,مستند، زندگینامه، موسیقی
Citizenfour,انگلیسی، آلمانی,آمریکا، آلمان، بریتانیا,مستند، سیاسی، هیجان‌انگیز
Blackfish,انگلیسی,آمریکا,مستند، حیات وحش، اجتماعی
Exit Through the Gift Shop,انگلیسی، فرانسوی,بریتانیا، آمریکا,مستند، هنری، کمدی
Fire of Love,انگلیسی، فرانسوی,کانادا، آمریکا,مستند، عاشقانه، ماجراجویی
ارباب حلقه‌ها: یاران حلقه,انگلیسی,نیوزیلند، ایالات متحده,فانتزی حماسی
هری پاتر و سنگ جادو,انگلیسی,انگلستان، ایالات متحده,فانتزی نوجوانان
هزارتوی پن,اسپانیایی,اسپانیا، مکزیک,فانتزی تاریک
شجاع‌دل,انگلیسی,ایالات متحده,فانتزی تاریخی، درام جنگی
پرنسس مونونوکه,ژاپنی,ژاپن,انیمه، فانتزی
افسانه,انگلیسی,انگلستان، ایالات متحده,فانتزی ماجراجویی
بیگانه,ایتالیایی,ایتالیا، فرانسه,فانتزی
درخشش ابدی یک ذهن پاک,انگلیسی,ایالات متحده,علمی تخیلی، فانتزی، عاشقانه
سیندرلا,انگلیسی,ایالات متحده,فانتزی، عاشقانه
دیو و دلبر,انگلیسی,ایالات متحده,فانتزی، عاشقانه
The Exorcist,English,USA,Supernatural Horror
Hereditary,English,USA,Psychological Horror
The Babadook,English,Australia,Psychological Horror
It Follows,English,USA,Supernatural Horror
The Witch,English,USA,Folk Horror
A Quiet Place,English,USA,Sci-Fi Horror
Get Out,English,USA,Social Thriller Horror
Train to Busan,Korean,South Korea,Zombie Horror
Ringu,Japanese,Japan,Supernatural Horror
REC,Spanish,Spain,Found Footage Horror
The Exorcist,English,USA,Supernatural Horror
Hereditary,English,USA,Psychological Horror
The Babadook,English,Australia,Psychological Horror
It Follows,English,USA,Supernatural Horror
A Nightmare on Elm Street,English,USA,Slasher
The Ring,Japanese,Japan,Supernatural Horror
Psycho,English,USA,Psychological Horror
The Silence of the Lambs,English,USA,"Thriller, Horror"
Get Out,English,USA,Social Horror
Train to Busan,Korean,South Korea,"Zombie, Action Horror"
Mad Max: Fury Road,English,Australia,Action
The Raid: Redemption,Indonesian,Indonesia,Action
Die Hard,English,USA,Action
John Wick,English,USA,Action
Terminator 2: Judgment Day,English,USA,Action
Mission: Impossible - Fallout,English,USA,Action
Hard Boiled,Cantonese,Hong Kong,Action
The Matrix,English,USA,Action
Kill Bill: Vol. 1,English,USA,Action
Edge of Tomorrow,English,USA,Action
The Shawshank Redemption,English,USA,Drama
The Godfather,English,USA,Crime
The Dark Knight,English,USA,Action
Schindler's List,English,USA,Biography
Pulp Fiction,English,USA,Crime
Forrest Gump,English,USA,Drama
Inception,English,USA,Sci-Fi
Fight Club,English,USA,Drama
The Lord of the Rings: The Fellowship of the Ring,English,New Zealand,Fantasy
Seven Samurai,Japanese,Japan,Action
Se7en,English,USA,"Crime, Thriller, Mystery"
